COMMON 		 BOTANICAL 		 DESCRIPT 		 ID 		 GROWTH"""" 		 

Paprika Yarrow 		 Achillea millefolium 'Paprika' 		 Upright growing perennial has aromatic, light green foliage. Use in a perennial bed or border. Ruby-red, mounded flower clusters. Sun to part shade; moderate water. 		 AchMilPap 		 Ruby-red; to 2'"""" 		 

Red Beauty Yarrow 		 Achillea millefolium 'Red Beauty' 		 Upright growing perennial has aromatic, finely cut, light green foliage. Use in a perennial bed or border. Red flowers. Sun to part shade; moderate water. 		 AchMilRedB 		 Red; to 2'"""" 		 

Apple Blossom Yarrow 		 Achillea x 'Appleblossom' 		 Vigorous growing perennial has deeply cut, dark green foliage. Large flower heads are held on strong, 3' stems in summer; appleblossom pink blooms. 		 AchXApple 		 pale pink; to 2'"""" 		 

Heidi Yarrow 		 Achillea x 'Heidi' 		 Vigorous, upright growing perennial forms an attractive mound of fern-like foliage. Numerous stems are topped by pinkish, flat flower heads June to September. 		 AchXHeidi 		 deep pink; to 2'"""" 		 

Burgundy Glow Bugleweed 		 Ajuga reptans 'Burgundy Glow' 		 Plants are 4-6" high with reddish purple leaves variegated w/pink & cream. Blue flower spikes in spring & summer. Sun to part shade; well-drained soil; regular water. 		 AjuRepBurg 		 4-6" high; blue"""" 		 

Powis Castle Artemisia 		 Artemisia x 'Powis Castle' 		 Silvery, lacy mound to 3' x 6'. Great background for bright flowers of other plants. Hardy plant withstands heat, drought, and will grow on banks. 		 ArtemPowCs 		 to 3' h x 6' w"""" 		 

Zagreb Coreopsis 		 Coreopsis verticillata 'Zagreb' 		 Perennial 1' tall. Slightly leaning stems carry many whorls of very narrow, divided leaves. Bright golden yellow flowers. Full sun; little to moderate water. 		 CoreoZagreb 		 to 1' tall; gold"""" 		 

Blue Sedge 		 Carex glauca 		 Blue-gray foliage 6-12" long. Semi-deciduous in all but the mildest climates. Needs moist, fertile soil in full sun, but tolerates many conditions & light traffic. 		 CarexGlauc 		 6-12" long leaves"""" 		 

Moonbeam Coreopsis 		 Coreopsis verticillata 'Moonbeam' 		 Perennial 1-2' tall. Narrow dark green leaves. Pale yellow flowers from summer through autumn. Full sun; little to moderate water. Tolerates neglect and drought. 		 CoreoMoonB 		 1-2' h; pale yellow""" 		 

Tiny Rubies Dianthus 		 Dianthus gratianopolitanus 'Tiny Rubies' 		 Very compact perennial with double rose-red flowers. Light shade in hot climates; regular water. Prefers light, fast-draining soil. 		 DianthTinyR 		 2-4" h x 8" w"""" 		 

Purple Coneflower 		 Echinacea purpurea 		 Perennial; full sun; moderate to regular water. Native to central and eastern North America. 2' wide dense foliage clump with striking purple flowers. Good cut flowers. 		 EchinPurp 		 2' h x w"""" 		 

Magnus Coneflower 		 Echinacea purpurea 'Magnus' 		 Perennial; full sun; moderate to regular water. Native to central and eastern North America. 2' wide dense foliage clump with deep purplish-pink flowers w/orange centers. 		 EchinPurMag 		 2' h x w"""" 		 

White Coneflower 		 Echinacea purpurea 'Alba' 		 Perennial; full sun; moderate to regular water. Native to central and eastern North America. 2' wide dense foliage clump has white flowers with orange-yellow cones. 		 EchinPurAlb 		 2' h x w"""" 		 

Blue Fescue 		 Festuca glauca 		 Clumping, cool-season grass prefers moist, well-drained soil in sun. Needs afternoon shade in hot climates. Trim yearly. 4-18" clumps are bluish in color. 		 FestucaGla 		 up to 18""""" 		 

Elijah Blue Fescue 		 Festuca glauca 'Elijah Blue' 		 Clumping, cool-season grass prefers moist, well-drained soil in sun; afternoon shade in hot climates. Trim yearly. 8" clumps are soft powdery blue with medium texture. 		 FestucaElBl 		 8" clumps"""" 		 

Goblin Blanket Flower 		 Gaillardia x grandiflora 'Goblin' 		 Perennial 1-2' tall with single deep red flowers bordered in yellow. Long bloom period. Full sun; moderate water. Thrives in heat; needs good drainage. Good cut flowers. 		 GailGoblin 		 1-2' h x w"""" 		 

Whirling Butterflies Gaura 		 Gaura lindheimeri 'Whirling Butterflies' 		 Airy growth to 3' tall. Green leaves with slightly larger white flowers. Long-lived plant which is very drought tolerant. Sun; moderate water. Will reseed. 		 GauraWhirlB 		 to 3' tall; white"""" 		 

Palace Purple Coral Bells 		 Heuchera 'Palace Purple' 		 Sun in cool climates only; part shade elsewhere. Moderate water. Whitish flowers are on long graceful stems above purple foliage. 		 HeucPalPur 		 whitish bloom to 24""" 		 

Ruby Bells Coral Bells 		 Heuchera sanguinea 'Ruby Bells' 		 Round light, gray-green leaves w/scalloped edges. Bright red flowers stand above the foliage on 1-2' stalks. Part shade; moderate water. Sensitive to mealybug. 		 HeucRubBls 		 to 12" h; bloom to 24" 		 

Cambridge Bee Balm 		 Monarda 'Cambridge Scarlet' 		 Native to eastern North America. Plants grow to 3' tall with globe-shaped scarlet flowers. Mint-basil fragrance. Makes excellent tea. Sun-part shade; regular water. 		 MonCambS 		 3' tall; scarlet red"" 		 

Blue Wonder Catmint 		 Nepeta 'Blue Wonder' 		 12" silvery gray-green mound with bluish flowers in late spring & summer. Fragrant leaves are attractive to some cats. Full sun to part shade; little to moderate water. 		 NepBluWon 		 12" mounds; blue"""" 		 

